RecordNumber,Zipcode,City,State,Lat,Long,WorldRegion,Country,LocationText,Location,EstimatedPopulation,Notes
1,704,STANDARD,PARC PARQUE,,,17.96,-66.22,0.38,-0.87,,NA
2,704,STANDARD,PASEO COSTA DEL SUR,,,17.96,-66.22,0.38,-0.87,,NA
10,709,STANDARD,BDA SAN LUIS,,,18.14,-66.26,0.38,-0.86,,NA
61391,76166,UNIQUE,CINGULAR WIRELESS,,,32.72,-97.31,-0.1,-0.83,,NA
61392,76177,STANDARD,FORT WORTH,,,32.75,-97.33,-0.1,-0.83,,NA
61393,76177,STANDARD,FT WORTH,,,32.75,-97.33,-0.1,-0.83,,NA
4,704,STANDARD,URB EUGENE RICE,,,17.96,-66.22,0.38,-0.87,,NA
39827,85209,STANDARD,MESA,,,33.37,-111.64,-0.3,-0.77,,NA
39828,85210,STANDARD,MESA,,,33.38,-111.84,-0.31,-0.77,,NA
49345,32046,STANDARD,HILLIARD,,,30.69,-81.92,0.12,-0.85,,NA
49346,34445,PO BOX,HOLDER,,,28.96,-82.41,0.11,-0.86,,NA
49347,32564,STANDARD,HOLT,,,30.72,-86.67,0.04,-0.85,,NA
49348,34487,PO BOX,HOMOSASSA,,,28.78,-82.61,0.11,-0.86,,NA
10,708,STANDARD,BDA SAN LUIS,,,18.14,-66.26,0.38,-0.86,,NA
3,704,STANDARD,SECT LANAUSSE,,,17.96,-66.22,0.38,-0.87,,NA
54354,36275,PO BOX,SPRING GARDEN,,,33.97,-85.55,0.06,-0.82,,NA
54355,35146,STANDARD,SPRINGVILLE,,,33.77,-86.47,0.05,-0.82,,NA
54356,35585,STANDARD,SPRUCE PINE,,,34.37,-87.69,0.03,-0.82,,NA
76511,27007,STANDARD,ASH HILL,,,36.4,-80.56,0.13,-0.79,,NA
76512,27203,STANDARD,ASHEBORO,,,35.71,-79.81,0.14,-0.79,,NA
76513,27204,PO BOX,ASHEBORO,,,35.71,-79.81,0.14,-0.79,,NA
